obsid,obi,slot
54001,0,7
54000,0,5
13724,0,7
13957,0,2
13501,0,7
14473,0,2
12991,0,4
12167,0,7
55697,0,7
11088,0,7
11606,0,5
56677,1,7
10664,1,6
10739,0,7
57021,1,7
10437,0,2
10434,0,0
10285,0,2
10708,0,7
57264,0,7
10863,0,7
9916,0,0
9935,0,1
57562,2,7
9288,0,7
57742,0,7
57744,0,7
8684,1,0
57914,0,7
7430,0,7
58345,0,7
58421,0,7
58426,0,7
58429,0,7
6434,0,1
58920,0,7
7326,0,0
59071,0,6
59117,0,6
6083,0,7
6320,0,5
60078,0,7
60144,1,4
4744,0,1
4977,0,7
60665,0,2
4272,1,1
3605,0,1
4043,0,0
2968,1,0
60960,1,7
2565,0,2
3070,1,1
2784,0,2
61232,0,7
61243,1,4
61363,1,3
61695,0,5
61980,0,3
